Studio ItemNo	BaseStudioItemNo	BL ItemNo	BL ItemKey	LDraw ItemNo	LDD ItemNo	Description	isPerfectForCulling	BLCatalogIndex	BLCatalogSubIndex	EasyModeIndex	IsAssembly?	flexible type	IsDecorated	XPCatalogIndex	XPCatalogSubIndex
421	417	3039p15	421	3039p15.dat		Slope 45 2 x 2 with Space Display Pattern	o	82	1	5	False		True	5006	5006
422	417	3039p23	422	3039p23.dat		Slope 45 2 x 2 with Computer Screen and Right Side Buttons Pattern	o	82	1	5	False		True	5006	5006
423	417	3039p32	423	3039p32.dat		Slope 45 2 x 2 with 12 Buttons and 3 Red Lamps on Black Background Pattern	o	82	1	5	False		True	5006	5006
424	417	3039p33	424	3039p33.dat		Slope 45 2 x 2 with 12 Buttons and 3 Red Lamps on Yellow Background Pattern	o	82	1	5	False		True	5006	5006
425	417	3039p34	425	3039p34.dat		Slope 45 2 x 2 with Computer Panel Pattern	o	82	1	5	False		True	5006	5006
426	417	3039p58	426	3039p58.dat		Slope 45 2 x 2 with Blue Screen with Medium Blue Fish and Yellow Lines Pattern	o	82	1	5	False		True	5006	5006
427	417	3039p68	427	3039p68.dat		Slope 45 2 x 2 with M:Tron Logo Pattern	o	82	1	5	False		True	5006	5006
2464	417	3039pb002	2464	3039pc7.dat		Slope 45 2 x 2 with Spyrius Droid Image Pattern	o	82	1	5	False		True	5006	5006
2924	417	3039pb003	2924	3039p0u.dat		Slope 45 2 x 2 with Red and Blue 'U' Stripe Pattern	o	82	1	5	False		True	5006	5006
2301	417	3039pb004	2301	3039p09.dat		Slope 45 2 x 2 with Classic Fire Logo Pattern	o	82	1	5	False		True	5006	5006
2249	417	3039pb005	2249	3039p72.dat		Slope 45 2 x 2 with Red Number 2 and Green Stripes Pattern	o	82	1	5	False		True	5006	5006
10804	417	3039pb006	10804	3039p74.dat		Slope 45 2 x 2 with Number 4 and Red and Green Stripes Pattern	o	82	1	5	False		True	5006	5006
17447	417	3039pb007	17447	3039pb007.dat		Slope 45 2 x 2 with White Number 3 Pattern	o	82	1	5	False		True	5006	5006
17448	417	3039pb008	17448	3039p71.dat		Slope 45 2 x 2 with Red Number 1 with Yellow Outline Pattern	o	82	1	5	False		True	5006	5006
17449	417	3039pb009	17449	3039p75.dat		Slope 45 2 x 2 with Red Number 5 and White Stripe Pattern	o	82	1	5	False		True	5006	5006
17450	417	3039pb010	17450	3039p73.dat		Slope 45 2 x 2 with Number 3 and Black Stripes Pattern	o	82	1	5	False		True	5006	5006
17451	417	3039pb011	17451	3039p76.dat		Slope 45 2 x 2 with Red Number 6 with Yellow Outline Pattern	o	82	1	5	False		True	5006	5006
8616	417	3039pb012	8616	3039pb012.dat		Slope 45 2 x 2 with Headlights Pattern	o	82	1	5	False		True	5006	5006
